id,startnode,endnode
ADEPT02204_AHALL00304,ADEPT02204,AHALL00304
AHALL00102_ADEPT00102,AHALL00102,ADEPT00102
AHALL00102_AHALL00202,AHALL00102,AHALL00202
AHALL02404_AHALL02304,AHALL02404,AHALL02304
AHALL02404_ADEPT00604,AHALL02404,ADEPT00604
AHALL02404_ADEPT00704,AHALL02404,ADEPT00704
AHALL02404_AHALL02504,AHALL02404,AHALL02504
AHALL00101_ASERV00201,AHALL00101,ASERV00201
AHALL00101_AHALL00201,AHALL00101,AHALL00201
AHALL02405_AHALL02305,AHALL02405,AHALL02305
AHALL02405_AHALL02505,AHALL02405,AHALL02505
AHALL02401_AHALL02301,AHALL02401,AHALL02301
AHALL02401_ASTAI00101,AHALL02401,ASTAI00101
AHALL02401_AHALL02501,AHALL02401,AHALL02501
AHALL00105_AHALL00205,AHALL00105,AHALL00205
AHALL02402_AHALL02302,AHALL02402,AHALL02302
AHALL02402_AELEV00102,AHALL02402,AELEV00102
AHALL02402_ASTAI00202,AHALL02402,ASTAI00202
AHALL02402_AHALL02502,AHALL02402,AHALL02502
AHALL00104_AHALL01104,AHALL00104,AHALL01104
AHALL00104_AHALL00204,AHALL00104,AHALL00204
AHALL00903_AHALL00803,AHALL00903,AHALL00803
AHALL00903_AHALL01003,AHALL00903,AHALL01003
ADEPT01904_AHALL01404,ADEPT01904,AHALL01404
AHALL00902_AHALL00702,AHALL00902,AHALL00702
AHALL00902_AHALL01002,AHALL00902,AHALL01002
AHALL00902_AHALL01102,AHALL00902,AHALL01102
AHALL00901_AHALL00801,AHALL00901,AHALL00801
AHALL00901_ADEPT00501,AHALL00901,ADEPT00501
AHALL00901_AHALL01001,AHALL00901,AHALL01001
AHALL00901_AHALL01401,AHALL00901,AHALL01401
ADEPT01105_AHALL01805,ADEPT01105,AHALL01805
AHALL00905_AHALL00805,AHALL00905,AHALL00805
AHALL00905_ADEPT00305,AHALL00905,ADEPT00305
AHALL00905_AHALL01005,AHALL00905,AHALL01005
AHALL00904_AHALL00804,AHALL00904,AHALL00804
AHALL00904_ADEPT02504,AHALL00904,ADEPT02504
AHALL00904_AHALL01004,AHALL00904,AHALL01004
ASTAI00105_ASTAI00104,ASTAI00105,ASTAI00104
ASTAI00104_AHALL03904,ASTAI00104,AHALL03904
ASTAI00103_AHALL01903,ASTAI00103,AHALL01903
ASTAI00103_ASTAI00102,ASTAI00103,ASTAI00102
ASTAI00103_ASTAI00304,ASTAI00103,ASTAI00304
ASTAI00102_AHALL01002,ASTAI00102,AHALL01002
ASTAI00102_ASTAI00101,ASTAI00102,ASTAI00101
ADEPT01905_AHALL03405,ADEPT01905,AHALL03405
ADEPT01202_AHALL02302,ADEPT01202,AHALL02302
AHALL01105_AHALL01005,AHALL01105,AHALL01005
AHALL03405_AHALL03305,AHALL03405,AHALL03305
AHALL03405_AREST00305,AHALL03405,AREST00305
AHALL03404_AHALL02104,AHALL03404,AHALL02104
AHALL03404_ACONF00304,AHALL03404,ACONF00304
AHALL03404_ASERV00104,AHALL03404,ASERV00104
AHALL01101_AHALL00601,AHALL01101,AHALL00601
AHALL01101_AELEV00101,AHALL01101,AELEV00101
AHALL01101_ASTAI00301,AHALL01101,ASTAI00301
AHALL01102_ADEPT01002,AHALL01102,ADEPT01002
AHALL01103_AHALL01003,AHALL01103,AHALL01003
AHALL01103_AREST00103,AHALL01103,AREST00103
AHALL01103_ASTAI00203,AHALL01103,ASTAI00203
AHALL01103_AELEV00103,AHALL01103,AELEV00103
AHALL01104_AHALL01004,AHALL01104,AHALL01004
AHALL01104_AHALL01304,AHALL01104,AHALL01304
ADEPT00902_AHALL01402,ADEPT00902,AHALL01402
AHALL01905_AHALL01805,AHALL01905,AHALL01805
AHALL01905_AHALL02005,AHALL01905,AHALL02005
ADEPT00901_AHALL01601,ADEPT00901,AHALL01601
AHALL01901_AHALL01701,AHALL01901,AHALL01701
AHALL01901_ADEPT00201,AHALL01901,ADEPT00201
AHALL01901_AHALL02001,AHALL01901,AHALL02001
